0 SCALE_EMI_DMS SCALE_EMI_SHP_SO2 SCALE_EMI_ANTNS_SO2 SCALE_EMI_ANT_BC SCALE_EMI_ANT_OC SCALE_EMI_BB_SO2 SCALE_EMI_BB_BC SCALE_EMI_BB_OC SCALE_FRICV SCALE_EMI_SS_ACC SCALE_EMI_SS_COARSE SCALE_SEASALT_EXPO SCALE_EMI_CMR_FF SCALE_EMI_CMR_BB BC_RAD_NI DU_RAD_NI SCALE_SO2_REACTIONS SCALE_DMS_REACTIONS SCALE_WETDEP_IC SCALE_WETDEP_BC SCALE_DRYDEP_ACC SCALE_SO4_COATING KAPPA_SO4 KAPPA_OC SCALE_ACTIVATION SCALE_VERTICAL_VELOCITY SCALE_NUC_FT INSTALL START END
PPE_ENS_11 0.7463368 2.1253333 1.0482306 0.6921228 1.2788960 1.5123902 0.3719994 3.5779902 1.0099104 1.7625294 1.3557885 0.9850385 4.0130201e-08 6.3372186e-08 0.4145114 4.4372201e-03 1.7253974 0.5822273 1.0108420 1.3506905 1.4389152 1.3270377 0.7802790 8.7352976e-02 1.2409304 1.5517819 0.6775245 0 0 0
PPE_ENS_12 1.5496233 3.3974685 0.6064416 1.1453034 0.9425508 0.8869796 1.5072066 2.5415800 1.0758945 2.7972825 0.6661637 0.9958039 2.2772164e-08 8.5154686e-08 0.5691007 3.0205720e-03 0.9195765 0.6685210 1.1581271 0.9749960 2.4418011 3.3631216 0.7666345 0.1506249 1.2254292 0.5383276 1.1617716 0 0 0
PPE_ENS_13 0.9644189 0.3749125 0.8039282 0.7262679 1.2364960 0.6109853 1.3986147 2.9654521 1.0123836 1.6444035 1.6855208 1.0392869 2.4905405e-08 1.2033224e-07 0.7539931 3.2733347e-03 0.8849993 1.5896471 1.1084213 2.1740870 8.6345994 0.4533310 0.5231716 5.9853474e-02 0.8228134 0.8887423 3.4560087 0 0 0
PPE_ENS_14 2.1668195 1.1812058 0.8896375 1.6317548 0.7967262 0.9388987 2.0880558 3.1818621 1.0926689 0.4299183 1.4662993 1.0535111 3.4184708e-08 1.0264926e-07 0.8416062 2.1592348e-03 1.2756828 1.0172976 1.0819861 1.5624130 6.1494916 0.8448847 0.5153485 0.1590864 0.9910580 1.5433603 3.8469452 0 0 0
PPE_ENS_15 2.8407322 1.2310201 1.8117892 1.0912098 0.9456627 3.8264978 1.0826279 1.2720387 0.9819843 1.5577383 1.2469899 1.0071970 2.8455928e-08 2.0261221e-07 0.5253314 3.9235163e-03 1.0720860 1.0823499 1.2454729 0.4440902 5.1390115 0.3105411 0.6774421 0.1175260 1.1442591 0.5628593 4.6107218 0 0 0
PPE_ENS_16 1.6412882 3.4712686 1.0732403 1.5937564 1.2885046 1.1403780 1.9805011 2.6417889 0.9383978 1.2895649 2.2110715 0.9914809 2.5034277e-08 5.8882456e-08 0.6808287 2.9222739e-03 0.8656953 1.5061555 1.1609199 1.7470093 1.4028538 1.9046184 0.6814460 0.2066984 1.1077906 1.5589871 3.7925707 0 0 0
PPE_ENS_17 2.4863464 0.8551636 1.5719737 0.7385895 0.6642878 2.0734274 3.6889773 3.0996153 0.9740226 1.3663599 1.0956024 0.9189704 2.1524308e-08 1.7662723e-07 0.7441770 3.0908211e-03 1.5016835 1.5367760 1.1931568 1.3374438 2.6310204 0.8782491 0.6263031 0.1410233 1.1669884 1.4591808 4.3912251 0 0 0
PPE_ENS_18 1.2043297 1.5722453 0.9539532 1.3359690 1.1301167 0.9604898 1.6602721 1.8505285 0.9320442 1.0799821 1.8890381 1.0619021 1.9975894e-08 1.5443919e-07 0.7014973 2.1354794e-03 1.0427861 0.8059954 0.9185829 1.2986818 6.3289583 1.7447416 0.7568120 0.1439041 0.9060378 1.0712589 4.5248478 0 0 0
PPE_ENS_19 1.0001591 2.1155389 1.6047960 1.4720077 1.0044112 2.2796048 0.4637388 0.6328873 0.9898167 0.5827761 0.9030238 1.0369122 3.1714899e-08 1.3217786e-07 0.5787519 2.3373376e-03 0.7413563 1.6589024 1.1866444 0.9929222 4.5798958 1.5346283 0.5144520 4.6141002e-02 0.7701560 0.8412531 2.0595281 0 0 0
PPE_ENS_20 1.3349676 2.0856057 1.2019276 1.1001052 1.3676508 0.2883284 1.0025084 1.6077226 1.0847974 0.8833396 1.9224168 1.0699125 1.6366853e-08 1.9375409e-07 0.6512590 1.5370185e-03 1.0278144 1.1936312 1.0754417 2.5090188 4.1851156 0.9619895 0.6902589 0.2295298 1.1483244 1.6467242 1.5746884 0 0 0
PPE_ENS_21 1.7904229 2.3498877 0.6330307 1.6034324 1.3439091 1.7603374 1.1475976 3.2400728 1.0403768 2.3475819 2.9827743 1.0426015 1.9172991e-08 8.8786730e-08 0.6605104 1.5908004e-03 1.7931084 1.5924944 1.1720496 1.5921017 1.7865528 2.0830802 0.7639274 0.1805474 1.0218630 1.6079318 2.4248168 0 0 0
PPE_ENS_22 1.5169101 0.3836928 0.7042020 1.7763007 1.4843693 2.1167019 2.2667374 0.8147983 1.0437633 1.4261172 1.4863262 1.0441947 4.4142899e-08 1.4359041e-07 0.7062831 3.0420046e-03 1.8599868 1.7262542 1.0061951 2.2476914 2.4822783 2.6309434 0.6113394 0.1705378 0.7510286 1.1689202 2.9643014 0 0 0
PPE_ENS_23 1.3812226 1.2799269 1.3408559 0.9363654 0.8105709 0.4844113 0.2936371 0.3421347 0.9483692 1.1769404 2.7403256 0.9975343 1.6021019e-08 1.7353019e-07 0.5397267 2.1030885e-03 1.7086638 1.7685035 0.7995499 1.5414028 2.8877624 2.0374062 0.6435321 9.6788235e-02 1.2153415 0.5603916 3.0796960 0 0 0
PPE_ENS_24 1.2549458 1.9944939 1.2620010 0.9322710 0.8255969 2.9079983 0.3759738 1.3162346 0.9497924 0.2922202 1.6708826 1.0111128 2.6991876e-08 6.6713945e-08 0.4233796 3.1183602e-03 0.6397811 1.1705036 0.9405879 0.7716468 2.2920520 2.5184177 0.7278474 9.5822605e-02 1.0533795 1.1755705 5.7564015 0 0 0
PPE_ENS_25 1.5100712 0.2904028 1.0671699 1.7866776 0.7673991 2.1708059 2.1674389 1.5432180 0.9268106 2.0052641 1.2033678 1.0456179 1.8874759e-08 6.5133911e-08 0.4895328 4.3520789e-03 1.5959226 1.6293623 1.2263384 1.6248171 7.2012856 1.4372319 0.6306816 0.2601311 0.9456071 1.2686581 1.0404913 0 0 0
PPE_ENS_26 1.5241859 0.3293399 1.6342549 0.8590391 0.7484940 0.6544689 2.2475526 2.2018669 1.0962545 1.4869536 2.3997769 1.0251718 3.8227179e-08 8.0812443e-08 0.7468647 3.6049360e-03 1.8178074 1.8750681 0.8808619 1.7800407 2.8950129 1.3567918 0.5311204 5.5224163e-02 0.8901162 1.9444421 1.4053020 0 0 0
PPE_ENS_27 1.8167577 1.1366116 1.4260903 1.2202292 0.8043126 1.5869795 2.0151531 0.8733437 0.9816648 1.6180603 1.4316912 1.0076797 2.6193394e-08 7.4556691e-08 0.6086157 5.4680426e-03 1.3349758 1.0764230 1.0088406 0.8253099 6.5208845 1.5067168 0.4664584 0.1086307 1.0242492 1.0387112 0.6013181 0 0 0
PPE_ENS_28 0.6074744 0.8812015 1.5480477 1.0264996 1.0887052 2.5232242 0.7537445 2.2140148 0.9595757 0.7764390 2.1135733 0.9648158 3.7130910e-08 5.5205908e-08 0.6536721 1.7176421e-03 1.8117358 1.9171560 0.8590323 1.4772217 2.5867582 0.3724587 0.7391744 0.3129373 0.8064233 1.2322342 1.1812097 0 0 0
PPE_ENS_29 0.7569478 0.4700373 1.7346315 0.8939271 1.2923852 1.4130989 2.3788833 0.7409356 1.0766978 1.4976026 0.9732215 0.9119231 2.4257615e-08 6.8430633e-08 0.3326204 5.8709331e-04 1.1830786 1.0446682 1.2068709 1.0647569 1.9586454 0.7769832 0.5899140 0.1207954 0.8874457 0.9341626 1.3028910 0 0 0
PPE_ENS_30 0.9271139 1.1475604 1.0545207 1.1253189 0.6723786 1.5317091 0.9134139 0.7261168 1.0463377 0.9468117 0.2004491 1.0274360 2.3009859e-08 6.0690977e-08 0.8147733 2.8731544e-03 1.4077501 1.5220425 1.0670587 0.8663906 1.8730980 1.6056299 0.5015826 0.1993076 1.1864485 1.0915873 8.8524396e-02 0 0 0
PPE_ENS_31 1.4684507 4.3342511 1.6656386 1.2016517 0.7920868 3.1603873 2.3665069 0.3844508 0.9126890 2.0756229 1.9342125 0.9226693 3.4036015e-08 1.6550817e-07 0.7749336 7.6196641e-04 1.4450051 1.6807272 0.8890479 1.4184120 3.1161835 3.3267783 0.4143151 0.1978914 1.0717251 1.8756955 3.1592709 0 0 0
PPE_ENS_32 0.7073305 1.5528206 1.5521991 1.6196566 1.6535825 0.3530826 2.2345498 3.2895752 0.9059615 2.7221694 1.5469482 1.0327535 3.3658525e-08 1.5144969e-07 0.5618915 1.2562325e-03 1.3545195 1.1772463 0.7641431 0.9421801 0.3051445 1.6330484 0.4607497 0.2398143 0.9319174 1.8035742 3.3126028 0 0 0
PPE_ENS_33 1.1621383 3.0911426 1.4659396 0.8861856 0.7774250 2.2423816 2.6424885 2.6163625 1.0996933 1.0660293 1.1386996 1.0880195 3.2018460e-08 2.1317025e-07 0.6693142 2.4977311e-03 1.2598944 1.9901453 0.8223668 1.5597727 5.1929124 3.0073687 0.5471986 3.0324008e-02 0.8138572 0.8271013 0.5034314 0 0 0
PPE_ENS_34 0.4349217 1.2090189 1.6888629 1.3413546 1.3569268 1.8061520 0.5638809 1.3514906 0.9109680 1.1376066 2.0748346 1.0785532 4.2140271e-08 1.7905850e-07 0.4763271 2.5912571e-03 0.5928828 0.9060488 0.8444121 2.1524724 3.0326730 4.2663782 0.6952946 0.1292364 0.9967014 1.2724815 8.3367040 0 0 0
PPE_ENS_35 0.8313991 2.4987236 1.2450429 1.0301388 0.7845317 1.6662424 2.1541535 1.8378363 0.9835237 1.9660132 2.6820923 0.9482509 2.6465861e-08 2.2020218e-07 0.4083944 1.3112188e-03 1.3000623 1.4233544 0.8686130 1.4664683 3.9434438 0.9695928 0.6742954 0.1496427 0.9706510 0.6752534 0.5611335 0 0 0
PPE_ENS_36 1.4449253 0.5276891 0.9969788 1.5407924 1.1535888 0.8220867 1.9304387 1.0380773 1.0620641 1.6819038 2.0813073 0.9616904 3.6460102e-08 1.6739122e-07 0.5064238 4.6276790e-03 0.5187652 1.3234732 0.9372623 1.3043551 3.8557842 2.3522024 0.7908847 0.2108559 1.0934019 1.3995351 3.3446054 0 0 0
PPE_ENS_37 1.6672207 1.0603280 0.6464718 1.1995855 1.5863203 3.1253497 0.6782077 0.8281882 0.9656315 2.0640644 1.9068219 0.9147519 1.9010297e-08 2.2770291e-07 0.8210820 3.4680689e-04 1.5131248 1.6039426 1.0379166 1.2176553 1.7116518 1.7220599 0.6939145 0.2827292 1.2486137 1.3672000 3.7063923 0 0 0
PPE_ENS_38 2.4960682 1.7019671 0.7576842 1.6635913 1.1985494 0.9824725 1.6954237 0.6080912 1.0180134 0.4480578 1.3923388 0.9420993 3.4900374e-08 9.9940689e-08 0.4646510 4.2464601e-03 1.5891223 1.8802167 1.1504707 0.7814519 1.2720971 0.9002326 0.5185454 8.5178339e-02 0.9023215 0.9713983 0.2368945 0 0 0
PPE_ENS_39 1.6799726 1.7909632 1.3290257 1.2717839 0.6250639 2.4295955 1.7359262 1.8967472 1.0274047 0.2578333 1.2877897 1.0687590 1.5060639e-08 5.4404903e-08 0.7309534 3.7971770e-03 1.1647318 0.6160976 1.1466682 0.5717802 3.1578894 2.8673546 0.7739189 6.0565271e-02 1.1591042 1.8382325 1.7334051 0 0 0
PPE_ENS_40 2.3175562 0.5859862 0.8533548 1.0482601 1.5549680 2.5785910 1.4831927 2.0109738 1.0990533 2.5258121 2.2496578 0.9829648 2.8744970e-08 5.0108147e-08 0.5201616 1.7589323e-03 1.6631701 1.9207506 0.7761521 0.9978384 0.6902864 0.6733076 0.6639632 0.1732600 0.8666867 0.9138772 4.3230812 0 0 0
PPE_ENS_41 1.9998209 1.5629737 0.8276092 1.3336408 1.2555970 2.6826979 1.9659139 3.0040280 0.9886430 0.7018943 2.1446580 1.0085951 4.1880956e-08 1.7125216e-07 0.3872477 2.9410536e-03 0.5606282 0.8706850 0.9466038 1.5503072 1.1013685 0.7446793 0.4158237 0.1633845 1.1706797 1.5091381 1.3688658 0 0 0
PPE_ENS_42 2.2099817 1.8308891 0.9591172 1.4075964 1.5111842 0.9154731 0.5061898 1.6989137 0.9447661 1.0011409 0.7302882 0.9900536 3.1607762e-08 4.1197742e-08 0.8030939 1.8687103e-03 1.3248414 1.8314505 0.9557612 1.7084894 2.6556257 1.6139069 0.5300159 0.1267980 0.7991176 0.6301542 2.5112023 0 0 0
PPE_ENS_43 0.3143966 3.6548859 1.3306813 0.7844503 0.9256130 1.6144985 2.9859914 2.5807083 0.9752346 0.3931338 1.8354037 1.0041176 2.8618928e-08 1.3694316e-07 0.6287650 2.4735044e-03 1.9603061 1.0987586 1.2422701 1.4029885 2.2612736 1.9567221 0.4248264 0.2612581 1.1367759 1.8682298 0.6945333 0 0 0
PPE_ENS_44 1.2122814 1.8209787 1.3161950 1.4361571 0.7341554 2.1870866 1.1209338 0.4136901 1.0368257 1.0283130 1.5956765 0.9322465 3.9512202e-08 1.0136833e-07 0.7381730 2.5331983e-03 1.6299752 1.0258650 0.7500280 2.3773496 0.6624143 2.7395850 0.4506565 3.7666569e-02 0.9450662 0.6492765 2.8300825 0 0 0
PPE_ENS_45 2.9873228 2.3650897 0.6101555 1.3113996 0.9230068 1.2192776 1.6687247 2.1465481 0.9547755 0.8628344 2.3542375 1.0159964 1.8541386e-08 1.4769489e-07 0.4204647 1.0763847e-03 0.5710494 0.6098289 1.0959371 1.7630850 1.5997253 2.9304994 0.7700368 0.1168939 1.0204021 1.2552470 2.3216638 0 0 0
PPE_ENS_46 1.2982960 2.9368024 1.8389403 1.3154071 1.2273306 0.8581188 0.8853599 1.5230579 1.0076561 1.7899299 1.0691814 0.9636021 1.6892217e-08 4.2240013e-08 0.6469965 4.1630338e-03 0.9426470 1.4448384 1.2386457 2.3947057 1.5931302 1.4235390 0.7586636 9.4880181e-02 1.0296253 0.7438130 8.6586981 0 0 0
PPE_ENS_47 0.4284915 0.5953041 1.3605329 0.6604270 1.1489904 1.0936860 1.2612692 1.2760168 0.9909532 1.4174473 0.1892306 0.9999450 3.4433879e-08 1.6276966e-07 0.6571263 4.8130415e-04 1.4306931 1.8540378 0.8105562 0.4231999 4.3758526 1.3757279 0.5949287 0.2119111 1.1956738 1.8627993 1.6275784 0 0 0
PPE_ENS_48 0.8127622 1.9694204 0.6512237 1.8611003 1.1159002 3.2979189 3.0304441 1.7361670 1.0637925 0.4087863 1.6370732 1.0738801 3.9805948e-08 1.9192881e-07 0.6114125 4.3881183e-03 0.8493797 1.1584798 0.9520166 0.5819691 6.2077017 1.5549445 0.5675703 0.1158552 1.0981046 0.5158995 7.1214535 0 0 0
PPE_ENS_49 2.4756330 0.9447891 1.3041171 1.0186681 1.6581133 1.1642839 2.4991568 0.9113828 0.9672693 2.3545673 2.7521768 0.9951804 2.5212066e-08 4.9153245e-08 0.3082686 2.0173909e-03 0.7209121 1.6925794 0.8847452 1.0869412 0.4644349 1.8395586 0.5713451 5.6821731e-02 0.8962862 1.3457579 1.8924129 0 0 0
PPE_ENS_50 0.7967994 0.5371738 1.4409209 1.7128512 1.5031845 1.9945039 1.7623504 3.1138282 1.0338497 0.9904928 0.4812083 0.9772229 3.4574492e-08 2.4039419e-07 0.8401308 2.6717634e-03 1.2261827 1.7461219 1.0537750 1.1196713 0.4737027 0.3525053 0.6086679 0.1923868 1.1412716 1.1593622 3.8655928 0 0 0
PPE_ENS_51 0.5942692 0.4909758 1.2553174 0.8243083 1.1624560 1.7330093 0.7781018 0.7951523 0.9205398 1.6726776 0.2781062 1.0298462 2.7417443e-08 1.7964736e-07 0.3803300 1.8849510e-03 0.6480480 0.5391819 0.7787886 1.4472953 1.3389403 0.8920682 0.6048917 4.4243089e-02 0.9593578 1.0550381 3.2353150 0 0 0
PPE_ENS_52 1.7932835 1.9814102 1.7179409 0.9671798 0.7859639 2.5086086 1.7232979 2.1059993 1.0843928 0.8710162 1.6140095 1.0010479 2.3678961e-08 6.9950968e-08 0.6064427 4.4924632e-03 1.0564063 0.8266603 0.9713296 1.4866382 3.4285732 2.2966415 0.7623997 0.1538033 0.8821772 0.5480137 4.3509712 0 0 0
PPE_ENS_53 0.5093380 1.4517355 0.7188211 0.8965705 0.9564143 0.3085241 2.3520894 2.6788415 1.0103367 1.2029700 0.7632425 0.9059524 3.2638698e-08 8.5846686e-08 0.7224322 2.3518963e-03 0.6526020 0.5029450 0.7733536 1.6304370 0.7807615 1.9901553 0.7404836 5.3841578e-02 0.7869423 0.8766634 4.0768745 0 0 0
PPE_ENS_54 0.6059461 1.6256154 0.8794118 0.9233164 1.2801182 0.5166971 2.1025969 2.0650787 0.9286983 1.3577587 0.3382398 0.9823479 2.1902311e-08 1.1810443e-07 0.7644092 7.0594069e-04 0.6710611 1.9607513 1.1401759 1.5312494 0.4117497 2.4840957 0.6209003 0.2089277 1.2133727 1.0461791 3.5757774 0 0 0
PPE_ENS_55 0.4058443 2.8478704 0.6929990 1.7009235 1.7129993 1.2991718 1.0125537 0.7684372 0.9238913 1.4711601 0.6430474 1.0901249 1.5465556e-08 1.0396287e-07 0.7783869 3.6676841e-03 1.6730428 0.6761895 0.8837092 2.0620440 0.7051733 0.4271132 0.5755373 0.1097859 0.7931372 1.1309889 2.6871755 0 0 0
PPE_ENS_56 2.3405438 2.7599178 0.7839955 0.9295227 1.0161154 2.3143109 3.1044800 2.9357538 1.0452462 1.8398970 0.8409697 0.9933933 2.9752102e-08 7.6013977e-08 0.6172037 1.4287514e-03 0.9888218 0.8775548 1.0327175 1.1889566 4.7907287 0.7848083 0.4012833 7.8339592e-02 1.1222948 1.5891432 0.4144045 0 0 0
PPE_ENS_57 1.9007930 2.5155654 0.9039701 1.0361024 0.6811001 2.0358522 1.9441138 2.8995115 0.9046009 1.2227732 1.5835815 0.9041635 3.9208785e-08 8.0318860e-08 0.5191128 1.9156738e-03 1.9972035 0.5227943 0.9577464 2.0290939 2.2170721 4.4360187 0.7782228 0.1695418 1.1658620 1.9544723 6.3986617 0 0 0
PPE_ENS_58 1.9733618 2.6512525 1.1157838 1.4034738 0.8894040 3.4138985 1.7647135 2.1785027 1.0773344 2.0211978 0.7139644 1.0409297 2.5532441e-08 9.2875464e-08 0.4578826 1.8366538e-03 1.8017816 1.3724950 1.0563244 1.5113765 0.8177590 0.7980087 0.4762315 2.8987614e-02 0.9502127 1.6546756 2.1680705 0 0 0
PPE_ENS_59 1.1264240 1.4419500 0.8655249 0.7622535 0.6572679 1.3370900 1.3657785 1.4747680 1.0855017 1.8121360 0.5875769 0.9605159 4.0258404e-08 2.3084110e-07 0.3542538 7.9126392e-04 0.9129807 1.9500366 0.9130579 0.8444429 2.4025448 2.5614081 0.4555076 0.1549953 0.7656722 1.9223838 1.9534837 0 0 0
PPE_ENS_60 1.0578043 1.8679649 1.3836345 0.6138711 1.6152462 3.0220343 1.3291256 1.1246210 0.9151992 0.2760091 1.0850415 1.0289688 4.4693515e-08 9.2161064e-08 0.5741974 4.6629582e-03 1.2479299 1.7087616 1.1691998 2.3151361 5.6741116 1.1428807 0.4804316 0.2459504 0.8998155 1.2082418 3.9938897 0 0 0
PPE_ENS_61 2.2816661 1.7125411 1.1871492 1.1869491 1.2494994 2.9864732 1.7905981 1.7883244 1.0496607 1.2967505 1.3110929 0.9964057 3.4978717e-08 1.4405399e-07 0.6576801 2.7233674e-03 1.0774214 1.3834039 0.7872132 1.2698989 6.7250969 3.1411310 0.5650886 2.3600167e-02 1.1286448 1.6981761 6.0132922 0 0 0
PPE_ENS_62 2.0348870 2.4409591 1.5797739 1.2379824 1.0997933 0.7476939 2.4510182 1.6733717 0.9620979 0.9758750 1.1305188 0.9479400 4.1240283e-08 9.6770563e-08 0.4540854 1.9956641e-03 0.6656836 1.0520940 1.2031283 0.4047465 0.2238100 0.3257971 0.4889488 0.1220863 0.7800926 1.0615738 1.5021897 0 0 0
PPE_ENS_63 0.5396488 3.0349393 0.6781080 0.7532158 1.4598252 2.1634352 2.2208356 0.4676320 0.9371509 2.6277222 2.3876364 0.9250613 4.1436178e-08 4.8282615e-08 0.4608889 8.3575706e-04 1.6496512 0.6630280 1.0388233 1.9153154 2.5672762 2.4250582 0.5061873 2.6462022e-02 1.2300029 0.6174926 2.7164307 0 0 0
PPE_ENS_64 0.4847357 4.0055788 1.0181169 0.6528227 1.5586730 0.5777282 0.3300206 0.4101935 0.9879267 0.8189784 2.2928249 1.0702042 3.1361324e-08 1.1368104e-07 0.8600953 2.8258387e-03 1.9413986 1.5703173 1.2135576 1.5788054 3.8831287 3.9012561 0.4478928 0.2471222 0.8732717 1.5923609 0.3392028 0 0 0
PPE_ENS_65 1.8074123 1.7204014 0.6833992 1.3226798 1.1582331 2.1358916 0.7958741 2.1904842 1.0419537 0.6840216 0.4191482 1.0150021 3.5484906e-08 1.8663147e-07 0.6503518 3.2196562e-03 0.7641196 1.1849666 0.9491656 2.6026670 5.3090330 1.5655156 0.5909222 0.1875067 1.1362527 1.4151684 6.0696659 0 0 0
PPE_ENS_66 1.5723660 2.5452463 1.3563162 0.9567541 0.7164205 1.6363093 0.2671161 0.2795652 0.9930074 1.8551797 0.7026292 1.0138857 2.9631892e-08 1.4056429e-07 0.4039716 1.1945138e-03 0.7854694 1.2188942 0.9839367 2.2258414 1.3617268 1.3019255 0.5240347 2.1206478e-02 0.9837264 1.0209627 2.2264308 0 0 0
PPE_ENS_67 2.7402875 0.9881750 1.4859214 1.2913388 1.6280039 2.1096556 0.6998770 1.1348227 1.0230386 1.2662593 2.1967352 1.0102275 1.6991223e-08 1.2344131e-07 0.5361600 4.9549517e-03 1.2899786 0.6060055 0.9652816 1.1683137 0.9695985 4.3112782 0.6625916 7.1063059e-02 0.7544291 1.5077842 2.7879109 0 0 0
PPE_ENS_68 0.5539422 0.5651578 0.8225213 1.2271935 1.7308058 2.1429161 2.4700465 0.3581622 0.9759839 0.4564849 2.0658356 1.0713647 3.6772011e-08 1.3847521e-07 0.5132227 7.1609446e-04 0.7950299 1.8638807 0.9683106 1.2083242 2.7983804 3.7133549 0.7367596 0.1240093 1.1620279 1.2139695 1.7832839 0 0 0
PPE_ENS_69 0.6340874 2.1831986 0.9447950 0.9750017 1.0582106 3.0474533 2.9172265 1.2149129 0.9632401 0.6877289 0.5946237 1.0504252 3.4258822e-08 6.4797485e-08 0.8512483 3.3796331e-03 0.8891320 0.7363356 1.0029280 1.7284039 0.3267891 3.8615331 0.7239388 0.1857447 1.0079649 1.8248098 2.2020359 0 0 0
PPE_ENS_70 2.0192281 0.9232114 1.6728071 1.3057342 0.8407787 1.5689552 1.2636970 0.7848188 0.9518857 0.2141184 0.2712192 1.0853475 1.7856760e-08 7.5358178e-08 0.8097085 2.2073044e-03 0.7483046 0.7444512 0.9219359 1.8202114 5.8761496 3.4275276 0.7083897 0.1333032 1.1324208 1.8094528 0.1645420 0 0 0
