0 SCALE_EMI_DMS SCALE_EMI_SHP_SO2 SCALE_EMI_ANTNS_SO2 SCALE_EMI_ANT_BC SCALE_EMI_ANT_OC SCALE_EMI_BB_SO2 SCALE_EMI_BB_BC SCALE_EMI_BB_OC SCALE_FRICV SCALE_EMI_SS_ACC SCALE_EMI_SS_COARSE SCALE_SEASALT_EXPO SCALE_EMI_CMR_FF SCALE_EMI_CMR_BB BC_RAD_NI DU_RAD_NI OC_RAD_NI SCALE_SO2_REACTIONS SCALE_DMS_REACTIONS SCALE_WETDEP_IC SCALE_WETDEP_BC SCALE_DRYDEP_ACC SCALE_SO4_COATING KAPPA_SO4 KAPPA_OC SCALE_ACTIVATION SCALE_VERTICAL_VELOCITY SCALE_NUC_FT INSTALL START END
PPE_ENS_11 0.8425372 1.1776237 0.6679571 1.5954921 1.4499555 2.9190108 0.7390229 2.5474294 0.8945718 2.5749948 2.1032072 1.0739994 2.1319478e-08 4.9748466e-08 0.7442423 8.2363181e-04 2.5244992e-02 0.8954049 1.4122923 0.8440878 1.4165195 2.3336790 2.0989164 0.4883700 9.5363560e-02 1.1532530 1.5619981 0.3473308 1 1 0
PPE_ENS_12 2.2113989 0.5050914 1.1480417 0.9244674 0.9448621 2.2960592 0.6309828 0.3984640 0.9756613 0.7608485 1.5715869 0.9874612 2.4183701e-08 5.0913503e-08 0.6742055 3.6547256e-03 5.5708172e-03 1.6865661 1.8295597 0.8977627 1.2300004 0.6694648 1.5172386 0.4347783 0.2158943 1.2359687 1.2985578 0.2671695 1 1 0
PPE_ENS_13 1.7162801 0.2762707 1.5363622 0.6519689 0.6808190 2.9848333 0.2551848 2.7002510 0.9998020 0.6853548 2.0616126 1.0959751 3.3740809e-08 3.2452080e-08 0.5035534 2.1886874e-03 1.8576130e-02 1.1972981 0.7662214 1.0298032 0.9642500 0.7453324 0.9434038 0.5942274 2.0279112e-02 0.8442792 1.4290207 2.0031234 1 1 0
PPE_ENS_14 1.5833194 2.5172490 1.1885631 1.0407032 1.4543400 0.4106691 2.9032582 3.8220251 0.8658116 1.4929517 1.6683249 1.0547054 4.4225144e-08 1.5858317e-07 0.5639817 1.1717643e-03 4.0762076e-02 1.2517141 0.5771841 1.2317280 1.5780506 1.6218312 1.0195228 0.3098100 0.2273500 1.2492893 0.5781147 3.4010207 1 1 0
PPE_ENS_15 2.3999041 1.2414829 1.5172230 0.6056587 1.3202141 1.0337020 1.2169648 3.6298239 1.0295652 1.9726269 1.6595144 0.9431391 2.8933254e-08 7.6578604e-08 0.7728841 7.0726651e-04 2.0344265e-03 1.0840083 1.1059400 1.2232400 1.1564163 2.3610203 1.3393725 0.5150868 0.1538981 0.7991627 0.7688515 1.4905200 1 1 0
PPE_ENS_16 2.1813071 1.1553340 1.6470642 0.6093167 1.8090783 0.3947738 3.4395223 3.0726656 0.8672756 0.4866982 1.8595408 1.0409999 2.4581061e-08 3.7658398e-08 0.7040492 3.5301581e-03 9.4781644e-03 1.2744791 0.9235389 0.7587604 1.2740177 4.6496197 1.1205802 0.5755919 0.1421949 0.8797909 0.9921981 0.2358951 1 1 0
PPE_ENS_17 0.3719658 2.6585232 0.9219922 1.1760151 0.8857474 2.0759782 3.2119513 1.4475402 0.8683094 2.3398629 0.4937071 1.0511319 3.4289331e-08 6.8383941e-08 0.5576975 6.2631256e-04 4.1290999e-02 0.6837100 1.2361616 1.1513350 1.9607594 1.4519634 2.4210292 0.3537936 0.1551185 1.1369274 1.1003489 5.5639603 1 1 0
PPE_ENS_18 1.4383288 2.9996672 0.7044778 1.2952543 1.4985116 3.2122469 2.6469680 3.6468327 1.0231785 1.8498102 2.3810328 1.0773498 2.6850786e-08 7.9787568e-08 0.6874549 3.4595658e-03 6.2475416e-03 1.0294807 1.6934481 0.9808571 1.3966195 1.4837407 1.2468001 0.3666100 0.1666501 0.8147532 1.7167371 3.9850361 1 1 0
PPE_ENS_19 2.2713090 1.9804905 0.6062917 1.1081060 0.8317668 1.9773888 1.8812738 1.9763772 1.0085621 1.0311451 0.9094177 0.9449573 3.0373374e-08 7.4743046e-08 0.8244407 3.1598462e-03 2.0364824e-02 0.7233624 1.2226738 0.9678061 1.2448514 3.4210886 2.7209362 0.5493727 0.2646111 1.0417501 1.8065325 0.5354427 1 1 0
PPE_ENS_20 2.7221772 2.2969912 0.7233786 1.0837822 1.2129099 3.3802662 2.2187898 0.7637146 0.9214882 1.7608633 0.5560064 0.9602769 3.5037540e-08 1.2453076e-07 0.5836047 5.6669607e-03 3.5194993e-02 1.8125127 1.8783607 1.0565232 1.4616238 2.3430284 2.4037934 0.4144486 8.3854287e-02 1.1880636 0.6037389 1.6974974 1 1 0
PPE_ENS_21 2.8868657 1.7571243 0.9357880 1.1131346 0.7718717 3.5297787 0.9613647 3.6217989 0.9649775 1.3470491 0.7929517 0.9775428 2.3962616e-08 3.8935030e-08 0.5651337 4.5268788e-03 2.0045596e-02 0.7593495 1.6154878 1.0090935 0.3563171 0.4378486 2.8977180 0.5468761 5.9497085e-02 0.8413495 1.9404809 5.8808586 1 1 0
PPE_ENS_22 2.1663911 0.7986125 1.2542464 1.3879203 1.3516973 2.0367121 1.2936450 1.6718915 0.8880020 1.1153343 1.8394530 1.0818588 3.2004990e-08 1.8732495e-07 0.7056859 8.6172782e-04 1.7125135e-02 1.1909044 1.3371645 1.1168116 1.0692959 2.1632146 0.4886780 0.3446221 0.1212824 0.9115434 1.5052534 1.2540660 1 1 0
PPE_ENS_23 2.3154135 2.8179644 0.8420218 0.6631973 1.3303592 0.3080518 0.3654701 0.4978577 0.8607710 1.2379794 2.5592921 1.0430265 3.0332397e-08 7.2134963e-08 0.5046572 7.1688161e-04 3.9829291e-02 0.7048134 1.4554957 0.9842388 0.6556723 1.7396963 3.2264688 0.7021722 2.4848938e-02 1.0456798 0.6607625 4.7627274 1 1 0
PPE_ENS_24 0.7641120 0.9211823 1.1225819 0.7736378 1.5426161 2.8086621 3.0710324 3.9985727 0.9616758 1.6997572 2.2458843 0.9798722 2.0533399e-08 1.1280376e-07 0.7645351 1.6815431e-03 7.6792101e-03 1.4067041 0.7206722 1.1296004 1.4207542 0.1183573 1.4110823 0.6602477 2.7507630e-02 0.9733729 1.9784950 1.7795942 1 1 0
PPE_ENS_25 2.4737404 1.5003942 0.8484846 0.8321470 1.7028006 1.4755783 3.6642700 3.2185882 0.8750135 0.8537167 0.6565834 1.0173366 4.3253863e-08 1.0567770e-07 0.6577359 1.3006041e-03 1.8288990e-02 1.2588171 1.8521650 1.1819187 1.4742301 2.4515834 0.3795682 0.6249875 0.1675500 1.0965786 1.2033943 1.3222817 1 1 0
PPE_ENS_26 0.2695714 3.2617654 0.9672029 1.8088608 0.6898372 3.5778817 1.5372195 0.3817693 0.9596890 1.0966398 1.1731709 1.0063859 3.6466586e-08 1.1396826e-07 0.3894159 2.4954930e-03 3.2629084e-02 1.8311104 1.2462739 0.9746040 0.8372520 3.5506279 1.8889262 0.4926090 4.8058417e-02 1.1317786 0.5893927 2.7904598 1 1 0
PPE_ENS_27 0.9084352 0.9704127 1.5894944 1.1387339 0.6655178 3.5975143 2.7232622 3.9743960 1.0355429 0.7917123 1.2465578 0.9832804 4.1356928e-08 1.3557285e-07 0.6410755 2.2348871e-03 1.9507364e-02 1.5195431 1.2671158 1.2241438 0.7353964 3.0111740 0.5875978 0.4475173 5.4456167e-02 1.0871473 1.9042066 1.5106793 1 1 0
PPE_ENS_28 2.3266951 2.1329083 1.4869515 1.1866250 1.0091868 1.2276930 2.8315024 0.4065826 0.9947262 0.5143691 0.7430705 1.0247101 1.7946343e-08 1.2954306e-07 0.5198025 2.0169338e-03 2.5950865e-02 0.5903595 1.0329829 0.7817990 1.9775145 3.6063453 4.5579967 0.3544731 0.2279617 1.1741647 1.7678157 4.9091029 1 1 0
PPE_ENS_29 0.3548801 0.6777438 1.3226371 0.7408522 0.7906167 3.3496438 2.8883421 2.5425154 0.9114528 0.5484878 2.7015093 1.0439211 2.0739295e-08 1.1052247e-07 0.3725163 2.6406977e-03 5.4474150e-02 1.0487359 0.9459197 0.8398168 0.6090896 1.3691949 3.7023133 0.3519891 5.9966713e-02 1.0648428 1.5803042 1.8633641 1 1 0
PPE_ENS_30 1.5205445 1.1030727 1.1950335 1.4463935 1.8246444 0.5115222 0.5506322 0.7555507 0.9570349 0.3442943 0.4120046 0.9264355 3.5872799e-08 1.2792126e-07 0.7187720 1.6043452e-03 5.5051545e-03 1.6767933 0.5562060 0.8012596 1.8308294 2.8775871 0.8394269 0.4210555 0.1644262 0.9389003 0.8590374 4.3601597 1 1 0
PPE_ENS_31 2.7886598 0.7811790 0.6812775 0.9528018 0.6110959 3.0996427 3.7568001 3.6919034 1.0431393 0.3421255 1.6404348 1.0616657 3.7123985e-08 8.2998474e-08 0.6778262 1.9382001e-03 1.6876325e-02 0.9624456 1.9642883 0.9484645 1.6458013 2.9762171 1.8282499 0.4404975 7.3209911e-02 1.1766898 0.7848875 2.0866297 1 1 0
PPE_ENS_32 1.0140038 2.7177618 1.6157833 1.4827233 1.1750754 2.3853919 1.3540335 3.3291088 0.9209746 2.5438509 0.5155906 0.9500308 1.7099923e-08 1.2140904e-07 0.6157602 6.5328870e-04 3.1725916e-02 1.4444692 1.3644312 1.1435337 1.9827003 0.7533458 4.1338962 0.3680981 0.2041745 1.2214964 1.2262825 4.3816864 1 1 0
PPE_ENS_33 1.7023404 1.4343364 1.1184956 0.9164292 0.6942959 2.2687979 1.6517523 2.6652444 0.9516110 1.9310028 0.5257877 0.9537517 3.3122216e-08 9.7155276e-08 0.5271062 4.6478999e-03 5.1460068e-02 0.5373212 1.6983061 1.0161845 2.0234558 0.8316553 2.3533523 0.4573668 0.1841560 0.9331873 1.2353384 1.5663892 1 1 0
PPE_ENS_34 0.5947511 3.2987240 1.5714844 1.2656045 0.7484325 0.6349404 3.5249945 0.6417199 1.0097928 0.4405815 0.9800028 0.9064366 2.7627098e-08 6.5067578e-08 0.7590888 3.4966312e-03 5.0449819e-02 1.6449162 1.1712866 1.1274743 1.1213208 1.7857727 2.1634882 0.6239555 7.5826313e-02 0.8050857 1.8925652 4.2389446 1 1 0
PPE_ENS_35 2.1837206 2.3234933 1.3691458 1.2913250 1.3951228 1.1539135 0.9866808 1.1341019 0.9967999 1.4700275 2.0119334 1.0531773 1.6489769e-08 1.4999491e-07 0.2179416 4.1114288e-03 7.3646002e-02 0.9505273 0.7778017 1.0630022 2.3511938 3.8888806 1.9816232 0.7407614 6.9477452e-02 0.9648860 1.3954597 2.4307325 1 1 0
PPE_ENS_36 1.7389469 1.4023042 1.1657886 1.4403877 1.1579274 1.2940139 2.1627964 1.7711588 0.8866290 2.1408115 1.4441018 0.9569051 3.1814068e-08 1.6206011e-07 0.7530944 2.4423696e-03 2.4338175e-02 1.2633611 0.8685701 1.0432557 1.6873172 4.4027548 3.9883190 0.7427967 0.1378575 0.8388320 0.6466839 3.1206658 1 1 0
PPE_ENS_37 0.7087649 0.9422132 1.2708695 0.8347395 1.6495055 0.3449125 2.5803269 1.0751477 0.9585621 1.0754698 0.8214346 1.0939257 4.3559241e-08 9.6610561e-08 0.4317205 3.9268088e-03 3.7499023e-03 1.0343021 0.5362809 1.2272012 0.9159796 4.5708349 2.6827261 0.6525829 0.2517844 1.1130908 1.1075065 0.7502273 1 1 0
PPE_ENS_38 1.5473694 0.8778142 0.8065217 1.5401742 1.0854428 3.9503145 0.9729565 2.7251383 0.9501559 2.6446865 1.0788690 1.0983193 3.4587057e-08 9.0790937e-08 0.6215569 1.6435751e-03 4.4577442e-02 1.5823025 1.4395673 1.2079549 2.4880307 3.8591849 0.9009266 0.6411351 0.1806114 1.0281051 0.7778056 0.1681388 1 1 0
PPE_ENS_39 2.3852539 1.3740864 1.8872355 0.8151732 0.7068735 3.9610936 2.3922136 2.3756214 0.9000874 1.5603464 0.3343934 0.9681733 3.6314064e-08 1.3443039e-07 0.6731741 2.2728838e-04 1.7414863e-03 1.2732494 0.8227899 1.1102958 0.4736264 1.7148904 1.6744155 0.3489643 0.1870870 1.2163739 0.6768813 0.5128001 1 1 0
PPE_ENS_40 0.7920041 1.6740206 1.3878883 0.7037493 0.8374117 3.3110065 1.2454390 0.2618815 1.0452041 1.3133308 2.0926132 1.0727594 2.3697581e-08 2.0970925e-07 0.8217592 7.2770293e-03 2.7425722e-03 1.9245041 1.5078080 0.9256803 1.3809598 0.9372216 2.3177510 0.5341184 0.1752098 0.9579290 0.7500074 4.7342416 1 1 0
PPE_ENS_41 2.8097613 2.4230314 1.3440363 1.0134807 1.3687390 1.1055537 2.5588175 3.0864221 0.9662785 0.8114884 1.2728613 1.0814615 1.9124581e-08 6.0906404e-08 0.3561503 2.3588112e-03 2.7668399e-02 1.3100645 0.5693756 1.1549578 1.2799551 2.4090526 0.6707044 0.3812261 0.1888079 0.8106998 1.4055460 0.4736382 1 1 0
PPE_ENS_42 0.4063365 1.0317713 0.7471572 1.7376787 0.8380338 3.6411326 1.6323264 0.6231754 0.9505411 0.5082621 2.0597399 1.0798613 2.4753239e-08 1.2327912e-07 0.4607688 1.2889628e-03 2.0845764e-02 1.5971830 1.1649085 0.7968548 0.4360341 2.7883758 1.1904337 0.5209546 0.1494698 0.9815136 1.5190160 1.0145438 1 1 0
PPE_ENS_43 2.2016896 1.5738188 1.0143653 0.8835982 1.0657642 3.7971028 3.7199813 0.4741189 1.0389633 1.3607772 1.3350162 1.0518307 3.4687235e-08 5.9429627e-08 0.7725037 4.4738809e-03 1.9021418e-02 1.2370336 1.1207778 1.2149108 0.7200277 1.8788794 2.2069640 0.4643422 3.9804234e-02 0.8553137 1.7527783 3.2271802 1 1 0
PPE_ENS_44 2.3430052 2.1085999 1.9017127 0.6160314 1.7364741 2.7623532 0.7704146 3.7733715 0.9086198 2.2360641 2.4971054 0.9386110 1.8948730e-08 3.8322789e-08 0.3485025 5.2977678e-03 3.0586750e-02 0.6980267 1.7148542 0.8293246 1.2231333 2.9548659 0.6139226 0.7133578 2.8686081e-02 0.8421317 1.5866909 1.4345283 1 1 0
PPE_ENS_45 2.4318102 1.3619602 0.6897500 1.0708228 1.2383047 1.7694213 3.8068737 2.5683624 1.0140023 2.2869355 2.1761570 0.9152960 3.7035575e-08 6.4002759e-08 0.7629381 5.1862599e-04 1.9154250e-02 0.6079094 0.9528833 0.8669904 1.8651408 5.9698302 3.4731502 0.4542795 0.1966146 1.0054407 0.6934827 5.7561654 1 1 0
PPE_ENS_46 1.5027053 2.3779758 1.2000530 1.1683072 0.7846766 2.8724104 0.8677377 2.7150163 0.8758480 1.7690416 1.0352420 1.0541169 3.1566161e-08 1.6314176e-07 0.5098491 2.3943953e-03 2.2706229e-02 0.9842671 0.8650011 1.0458667 1.6143532 1.1875007 0.5050787 0.3898977 9.4012316e-02 0.7738018 1.6940474 1.4637533 1 1 0
PPE_ENS_47 0.6124725 2.2548082 0.9856142 1.1031617 1.0746626 1.0605431 3.6424370 1.2263200 0.8763138 1.6241125 1.2882406 0.9609763 4.1104841e-08 1.6652409e-07 0.3202664 1.1450557e-03 4.5799725e-02 1.1498841 1.7651588 0.9528070 1.5329555 4.2308259 2.6373451 0.4756066 0.2397997 1.1334099 0.6513132 5.3120066 1 1 0
PPE_ENS_48 1.4173613 3.3379107 0.7311946 1.5658431 0.7368099 0.7704647 3.3213666 2.0813422 0.8697676 1.7450584 2.2637472 1.0178167 2.7344176e-08 1.1855814e-07 0.2684703 2.1567056e-03 4.7384700e-03 0.6533388 1.0099028 0.9199236 0.3888147 3.3723700 2.5847033 0.4726113 0.1689379 0.9237506 1.0688085 4.9159507 1 1 0
PPE_ENS_49 2.6621965 1.3477223 0.9552704 1.2745776 1.2739620 1.1249892 3.3739009 3.5723238 0.8556446 2.7467907 1.9836773 1.0790221 3.1529691e-08 1.5145276e-07 0.6014682 4.0062399e-04 3.3945777e-02 1.8354471 1.7534580 1.0720389 2.5213284 1.8118863 2.8264647 0.7717860 4.5519016e-02 1.0796116 1.0374595 3.1257519 1 1 0
PPE_ENS_50 2.8423751 0.7230687 1.4439756 1.8431642 1.1318173 2.1392506 2.7806038 2.8317137 0.9677010 0.8768261 2.6799755 0.9136556 2.0216305e-08 1.2873946e-07 0.4431252 3.3168289e-03 4.7982122e-02 1.7230431 1.5629631 1.0405482 2.0117780 6.2507518 3.4907082 0.6203254 7.1054156e-02 0.9344004 0.7431343 2.0681506 1 1 0
PPE_ENS_51 0.4915438 1.0922259 1.6911760 1.6250834 0.7611173 1.5688782 0.4602681 2.4470199 0.9737677 2.4345764 2.3489247 0.9994865 2.6493519e-08 1.9855366e-07 0.8256859 2.7750891e-03 6.7803259e-04 0.6771850 1.2314711 0.7643180 1.3247943 2.5061869 2.7898921 0.7183640 0.1737676 1.2393634 1.6610743 8.0079860 1 1 0
PPE_ENS_52 2.2441338 2.0051181 1.2224063 1.4864776 0.8144248 3.1115972 3.0200869 1.8316442 0.8550393 1.8423663 1.3500492 0.9981301 4.3133604e-08 5.4340602e-08 0.5532468 2.7156209e-03 1.8417530e-02 0.6399614 1.2772761 0.9982052 1.1273173 4.9464194 2.6494200 0.4321980 0.2292246 1.1185091 0.8673338 2.3343601 1 1 0
PPE_ENS_53 0.5486250 0.5936979 1.6955794 0.8180046 1.0125899 2.8563778 0.6557778 0.2907648 0.9768386 2.1613389 1.5431807 0.9115617 1.5253216e-08 8.3933579e-08 0.5212865 2.2079723e-03 3.5621980e-02 1.9537611 0.5206828 1.0709459 1.1496143 0.9887145 1.6426164 0.4715553 0.1349834 1.1506974 1.3805436 3.8535590 1 1 0
PPE_ENS_54 1.0981885 1.6830009 1.5463457 1.1794683 0.8779510 2.1037676 1.1101571 2.8459010 1.0332428 2.6661089 2.4654198 1.0673080 1.9658755e-08 1.3838768e-07 0.3456817 5.2036965e-03 3.4380818e-02 0.7809378 0.8946287 1.1053912 0.7830827 7.6137893 3.5617856 0.5199292 5.5205804e-02 0.8702075 1.4453342 2.2430445 1 1 0
PPE_ENS_55 1.8454868 1.7767840 1.4698817 0.8229514 1.2873199 3.2363533 0.8962060 3.7758137 0.8575947 0.6631088 1.0578355 1.0486537 2.6294091e-08 1.3191205e-07 0.5781930 4.9541428e-03 2.9600903e-02 1.3860803 1.3197699 1.1374816 0.6215523 2.8424270 1.2528275 0.4076264 3.7762539e-02 1.1299783 1.4718109 5.6249638 1 1 0
PPE_ENS_56 1.4567992 2.4611083 0.9324464 0.8727817 1.8403375 2.3181619 3.8808239 1.4962081 0.9441009 1.9657058 0.4825340 1.0222101 2.2217611e-08 3.5818224e-08 0.7990381 3.0242727e-04 1.2734892e-02 0.7308793 1.3233922 0.9540249 0.5238766 0.4853650 3.3068762 0.6506718 0.1914475 1.1628005 1.0995265 5.4780778 1 1 0
PPE_ENS_57 1.2164357 1.8308595 0.9959713 0.6986758 0.7257774 2.5879440 1.6816763 2.8007943 0.8691398 0.6264274 0.2885751 1.0869231 3.3108759e-08 5.7197962e-08 0.5464335 5.0233137e-04 4.9934838e-02 1.5372109 1.1814010 0.8808407 0.7072641 2.2728152 3.8117683 0.7448484 0.2766110 0.8533403 0.9414573 3.3791087 1 1 0
PPE_ENS_58 1.9091625 0.3613831 0.8801162 1.0505308 1.6154241 1.1992138 3.4562776 1.1741747 0.9328650 0.9276608 0.4300416 0.9782022 1.9859582e-08 8.6024979e-08 0.7022902 1.7789983e-03 3.7826038e-03 1.1327920 1.3308938 1.1864291 1.0215807 0.1554968 1.4999990 0.4297395 3.0959255e-02 0.8135733 1.4760866 2.7637794 1 1 0
PPE_ENS_59 1.2717835 1.6434464 1.3487669 0.9507578 1.3417476 3.2779099 1.9837225 0.5207297 0.8804410 0.7514370 0.9985949 1.0494978 4.3977274e-08 4.6408522e-08 0.6250077 5.8214594e-03 3.7543494e-02 0.8032249 1.7899799 1.0951083 2.1488285 5.7919458 0.8281464 0.3779604 0.1485930 1.1699580 1.7813035 3.3338298 1 1 0
PPE_ENS_60 0.8304433 3.1671121 0.6123512 0.9808644 1.3321714 1.9731960 3.4726434 1.5172279 0.9436894 1.6307201 1.2214749 0.9617501 3.3508130e-08 4.7016477e-08 0.6993211 1.6277668e-03 2.3911744e-02 0.8467233 0.7142414 0.8564082 0.4958247 0.2995496 1.3186042 0.5434560 0.1794246 1.2153530 1.7290795 1.1729139 1 1 0
PPE_ENS_61 1.5994964 0.2861399 1.4336965 1.2476405 0.8600598 3.0703233 3.6016764 2.1661674 0.8636342 0.8377599 1.6807387 0.9120497 3.9418455e-08 5.8360055e-08 0.2625718 1.9195704e-03 8.1823035e-03 1.3043959 1.3881643 1.0035570 1.9107035 1.5556273 2.5170981 0.4188787 4.1383097e-02 0.9853829 0.8168882 3.7429935 1 1 0
PPE_ENS_62 0.5202333 0.6980100 1.2073443 1.0579084 1.7164030 2.1501291 2.9273268 2.7897576 1.0673597 0.3772694 0.8440247 0.9586915 2.1377176e-08 1.5708086e-07 0.5699306 3.2564469e-03 2.7109290e-02 1.9850462 1.3721676 0.9630578 2.0615609 1.3017595 1.0341795 0.3756796 4.8548511e-02 0.8031922 0.7742487 4.3335073 1 1 0
PPE_ENS_63 1.1239058 0.6202153 1.2435702 1.5564071 0.7700093 2.8397727 1.7990631 1.9199666 0.9863389 2.0949778 0.6368750 1.0073005 4.0115841e-08 1.6637016e-07 0.5303242 4.3769239e-04 9.5946148e-03 1.7512861 1.6661077 1.0042251 0.8965847 4.7338345 1.6281942 0.5978023 6.7205442e-02 1.1208973 1.0112884 2.7422745 1 1 0
PPE_ENS_64 2.9831519 0.7597332 1.5788885 1.0487389 1.1381368 2.0263730 2.2886586 2.1111574 0.9829434 2.3117903 2.3392504 0.9909019 2.8854650e-08 8.2529831e-08 0.4777498 1.5274463e-03 7.8425209e-03 1.1562878 1.8917716 1.0975148 1.0444680 1.6563261 1.8761195 0.6567269 0.1772602 0.9059680 1.5766538 1.3538125 1 1 0
PPE_ENS_65 1.2284286 2.1007469 0.8409643 0.8654660 1.4372731 1.5868326 1.9731882 3.2857244 0.9531833 0.5511117 0.3157795 0.9491760 4.2776015e-08 1.1991467e-07 0.7490679 1.0272573e-03 1.2101754e-02 1.0562472 1.3809508 1.1683948 2.3314178 2.0858236 1.5048182 0.7587808 0.1709371 1.0694169 0.7272063 2.2482368 1 1 0
PPE_ENS_66 2.1024062 2.7867047 0.8971240 1.7388082 1.3804862 2.5032431 2.3586558 3.2502678 0.9379873 0.8093607 2.2879511 0.9954909 2.4114307e-08 1.6941089e-07 0.4672024 6.3194846e-03 1.3902274e-02 1.9379661 1.0759070 0.8159845 0.8698640 7.4145847 2.4670235 0.5135570 0.1301672 0.9274145 1.1171905 1.6402938 1 1 0
PPE_ENS_67 2.7605360 2.3473347 1.2601519 0.6786498 1.3739477 1.4831240 3.3621985 2.9959932 0.9989638 1.3954030 0.5716993 1.0163425 3.5146008e-08 1.9474846e-07 0.6200350 1.0140169e-03 1.5510876e-02 1.3019803 1.4926185 0.7949482 0.7535056 2.0901095 0.7258479 0.6708772 0.1293350 0.8377658 1.0274710 7.1592726 1 1 0
