0 V_SCALE_BC_RAD_NI V_SCALE_DU_RAD_NI V_SCALE_DRYDEP_ACC V_SCALE_DRYDEP_AIT V_SCALE_DRYDEP_COA V_SCALE_EMI_BB V_SCALE_EMI_BF V_SCALE_EMI_ANTH_SO2 V_SCALE_EMI_DUST V_SCALE_SO2_REACTIONS V_SCALE_SO2_SO4_Fraction V_SCALE_EMI_SSA V_SCALE_EMI_CMR_BB V_SCALE_EMI_CMR_BF V_SCALE_EMI_CMR_FF V_SCALE_EMI_DMS V_SCALE_EMI_FF V_SCALE_NUC_FT V_SCALE_SO4_COATING V_SCALE_PH_PERT V_SCALE_WETDEP_BC V_SCALE_WETDEP_IC V_SCALE_KAPPA_SS V_SCALE_KAPPA_SO4 V_SCALE_CDNC_MIN INSTALL START END
PPE_PI_ENS_47 0.7800 2.7001e-03 0.8154 1.3162 1.1927 3.1777 1.0155 1.3728 1.0745 1.3532 2.2280 0.8205 1.2593 2.2592 1.4193 1.6866 1.0638 7.4896 4.1271 2.8763e-06 1.9589 0.9019 1.0205 0.5656 1.9507 0 0 0
PPE_PI_ENS_48 0.3588 3.4365e-04 1.4765 0.5685 2.3744 2.4098 3.5156 0.8419 1.1371 1.2663 1.9111 0.9827 0.6041 1.0113 1.1379 1.7175 1.1216 5.9297 2.7422 2.4477e-05 1.9109 0.7328 0.9627 0.4697 26.5725 0 0 0
PPE_PI_ENS_49 0.7609 4.1970e-03 1.4194 1.5031 4.6793 2.5972 1.1196 0.8124 1.5431 0.9852 2.0951 1.4418 1.2485 2.1086 1.4508 1.6557 1.1845 7.2516 2.7932 8.3356e-06 1.0124 1.4359 0.5472 0.5569 56.0658 0 0 0
PPE_PI_ENS_50 0.2691 3.6088e-03 1.4895 1.2832 0.3935 2.0588 0.6331 0.7462 0.5415 1.2158 2.6021 2.0566 0.9985 2.9657 0.6425 0.7707 0.6663 0.9630 1.7222 2.3396e-05 1.0750 1.9510 1.1042 0.6805 53.8620 0 0 0
PPE_PI_ENS_51 0.5518 2.8168e-04 0.7659 1.1702 3.5992 2.2961 2.6348 0.9030 1.0814 1.8774 1.8683 1.3686 0.5302 2.7000 1.3169 1.8336 0.5727 4.2611 4.1795 5.9330e-06 1.1887 1.1061 0.5337 0.4261 36.4545 0 0 0
PPE_PI_ENS_52 0.2371 8.6137e-03 0.1292 0.7836 3.7653 1.5559 2.5486 0.8917 1.0340 1.5638 1.5491 0.8468 0.7071 2.3843 0.9569 1.8781 0.9712 1.7576 1.8958 1.0062e-05 0.5881 0.8602 1.1360 0.4595 31.4910 0 0 0
PPE_PI_ENS_53 0.6783 8.8648e-03 0.8414 0.6265 3.2685 2.7504 0.6170 0.9385 0.5079 1.0647 1.2411 1.3286 1.2142 2.3679 0.7600 2.4697 0.8143 5.4368 2.1038 2.5262e-05 1.3920 1.7481 0.5847 0.4719 40.0601 0 0 0
PPE_PI_ENS_54 0.4668 1.5879e-03 0.7806 1.4010 1.4349 1.5389 2.6612 0.6002 1.5728 1.6753 1.7371 0.7544 0.7666 1.8044 1.3227 0.7284 1.8143 6.5852 1.3013 1.0099e-05 0.5803 1.4211 0.9490 0.7327 59.3703 0 0 0
PPE_PI_ENS_55 0.4294 9.2037e-03 1.3994 1.6962 0.6992 2.6795 2.8958 0.9077 0.8869 0.5008 2.9576 0.9989 1.2063 2.0521 1.0999 1.5432 0.5397 9.2994 1.5349 1.5831e-05 0.7464 1.6324 0.6481 0.7633 42.4757 0 0 0
PPE_PI_ENS_56 0.3851 6.7245e-03 0.1041 0.3059 1.0097 1.4920 0.3989 1.1805 0.7865 1.3289 1.6055 1.7150 0.6388 0.8485 1.2872 2.4292 0.6432 3.0754 1.1223 2.4114e-05 1.7560 0.5730 0.7026 0.7533 5.5375 0 0 0
PPE_PI_ENS_57 0.5737 9.4605e-03 1.1953 1.6433 0.1886 0.9430 2.1690 0.7831 0.9237 1.1230 2.3789 0.7892 1.3073 0.9486 0.8386 2.5702 0.9230 2.7510 3.3180 2.4610e-05 0.9742 1.2014 0.7780 0.4350 36.8918 0 0 0
PPE_PI_ENS_58 0.5297 9.1218e-03 1.2327 1.5170 4.4703 3.2771 1.1364 1.0518 1.9625 0.7293 2.6819 1.7847 0.9325 2.2563 0.5691 1.3567 1.6832 7.2777 1.3740 2.9358e-06 1.9700 0.6345 1.0223 0.7911 4.6174 0 0 0
PPE_PI_ENS_59 0.8418 4.8589e-03 1.2246 0.9868 1.9180 0.2595 1.9962 0.6934 1.1697 0.8327 2.4724 2.2203 1.2733 2.2924 0.8174 1.5192 0.5942 9.0642 2.5955 2.2054e-05 0.6778 1.5532 0.5442 0.7027 58.4324 0 0 0
PPE_PI_ENS_60 0.7534 5.3361e-03 1.0375 1.8867 4.1734 2.1750 0.9139 1.4766 0.6075 1.6504 1.2741 0.5893 0.9430 2.6526 1.2053 1.9518 0.7474 4.6398 3.0045 2.8719e-05 0.5743 1.2977 1.0352 0.6442 16.7584 0 0 0
PPE_PI_ENS_61 0.8497 6.2689e-03 0.2608 1.7818 3.3127 3.1071 0.8609 1.0074 1.0980 1.9974 2.1320 1.5618 0.8308 1.5970 0.6319 0.5070 1.6602 6.4005 2.3996 3.4378e-06 1.3474 1.1830 0.7635 0.7592 39.3869 0 0 0
PPE_PI_ENS_62 0.5806 5.7184e-03 1.0280 0.8440 3.1123 3.7263 3.8853 1.3133 1.7581 1.8006 1.6493 2.4249 0.7425 3.1056 1.3406 1.0290 1.0510 9.1789 3.4279 2.5890e-05 0.9394 0.9754 0.8008 0.6322 32.0442 0 0 0
PPE_PI_ENS_63 0.7290 3.1645e-03 0.5434 1.5772 1.3990 2.9192 3.6831 1.0362 1.9356 1.4685 2.6578 1.1953 1.0094 2.0716 0.9681 0.9492 1.9814 8.0465 2.6215 1.2355e-05 0.8934 1.2798 1.0677 0.6954 20.3825 0 0 0
PPE_PI_ENS_64 0.4984 8.9778e-03 1.3062 1.8155 0.2974 2.4044 1.3876 0.6302 0.7224 0.8654 2.2333 2.3670 0.8250 1.1611 0.5021 1.9881 0.6543 2.5728 4.7390 4.5044e-06 0.8498 1.8225 0.7137 0.7791 35.8345 0 0 0
PPE_PI_ENS_65 0.2295 7.5357e-03 1.1422 1.2057 4.0946 0.6999 0.2719 0.7745 1.3998 0.6081 1.1227 2.4554 0.5379 2.4588 1.1781 2.3081 1.3694 3.7671 0.7477 2.0877e-05 1.0569 1.3728 0.5383 0.6833 26.2176 0 0 0
PPE_PI_ENS_66 0.7671 6.3274e-03 1.0943 1.6277 4.5147 2.2161 0.5244 0.9924 0.7304 0.8386 1.7442 1.6100 1.1747 1.7122 0.7254 1.7545 1.8712 5.6801 3.9605 1.8940e-05 0.6139 0.5657 1.1283 0.6664 10.1062 0 0 0
PPE_PI_ENS_67 0.2261 5.2677e-03 0.7935 1.2716 4.4433 2.0855 1.4905 1.2840 0.9795 1.4187 2.7121 0.5068 0.6901 2.9818 0.5057 2.2799 0.5195 1.8156 3.9101 2.2738e-05 1.2106 0.6506 0.8052 0.5211 9.6547 0 0 0
PPE_PI_ENS_68 0.6501 9.1817e-03 0.9709 1.4839 2.3898 0.2756 1.3511 1.1387 0.5977 0.5619 1.3476 2.1758 1.0269 2.5836 0.8344 1.1716 0.9507 1.3119 0.6037 6.4730e-06 1.1741 1.7443 0.7882 0.4802 48.6578 0 0 0
PPE_PI_ENS_69 0.6711 4.2952e-03 0.5172 1.4077 0.7630 3.6429 3.7145 1.3335 1.4951 1.2935 2.0524 2.4887 0.3936 1.2319 1.4102 0.5765 0.8975 9.2439 4.7121 2.1125e-05 0.9032 1.3338 0.8412 0.7805 27.4830 0 0 0
PPE_PI_ENS_70 0.2569 2.2256e-03 0.7328 0.3956 3.2922 0.5045 3.3210 1.1957 1.1395 1.6272 2.7523 1.3315 1.1318 2.4012 1.0641 2.3779 0.8715 4.8783 2.9402 2.9493e-05 1.0532 0.8176 0.7696 0.6415 14.6591 0 0 0
PPE_PI_ENS_71 0.8198 8.1604e-03 1.1487 1.4780 0.8948 1.7368 3.5952 0.9785 1.0544 1.9603 1.6263 1.1011 0.7749 0.9605 0.5972 1.2220 1.7695 7.7419 4.9392 2.2187e-05 1.7243 1.9660 0.5663 0.7295 25.8565 0 0 0
PPE_PI_ENS_72 0.6942 6.9357e-03 0.9023 1.4463 4.3244 3.8109 1.4106 1.4185 1.2469 0.7498 1.1467 1.7712 0.6559 1.5460 0.9137 2.4935 1.9938 8.1417 1.6841 2.9890e-05 0.8149 1.4833 1.1637 0.5408 13.7568 0 0 0
PPE_PI_ENS_73 0.4082 8.9271e-03 1.3798 0.8330 3.6252 3.4929 0.8704 1.0660 1.3454 1.8964 2.3873 2.1246 0.5675 3.2769 1.3118 1.0832 1.7251 3.6268 0.5074 9.7372e-07 1.5407 1.5212 0.5618 0.5045 45.8855 0 0 0
PPE_PI_ENS_74 0.3667 2.5391e-03 0.6329 0.6366 3.2359 0.7840 2.3712 0.7545 0.9938 1.1956 2.9653 1.4969 0.5695 3.1912 0.5544 1.1549 1.8741 5.1383 4.7771 5.4037e-06 1.3937 1.5080 0.7919 0.4439 58.2064 0 0 0
PPE_PI_ENS_75 0.8588 5.1826e-03 0.8270 0.7880 4.7100 3.9150 2.6842 1.0547 0.7753 1.3586 2.6416 1.7214 1.0353 3.2115 0.9733 2.6013 1.0219 4.0304 3.6870 1.0664e-05 1.0275 0.9822 1.0129 0.5804 41.2802 0 0 0
PPE_PI_ENS_76 0.7770 4.3029e-03 1.3284 1.6882 3.1858 1.6823 2.0390 0.8790 0.7528 0.8790 1.9902 0.7245 1.2838 3.2387 0.9214 2.0505 0.6298 2.6979 0.9078 1.3799e-05 1.5568 1.6741 0.6652 0.6180 11.8634 0 0 0
PPE_PI_ENS_77 0.4316 8.8931e-04 1.4405 1.8451 1.5829 0.5606 2.8162 1.0810 1.8580 1.1314 1.1021 1.0436 0.3748 1.9892 1.3972 1.1999 1.7966 3.2916 2.9644 9.8415e-06 1.2761 1.1118 1.1096 0.5305 35.5592 0 0 0
PPE_PI_ENS_78 0.5989 5.9718e-03 1.2918 1.2666 1.3315 2.6211 3.3739 1.4788 1.0659 1.8537 2.9084 0.7320 1.1272 2.3324 1.0242 1.4644 0.5586 4.5149 3.1843 2.7323e-05 1.6649 1.0554 1.1838 0.6049 8.4044 0 0 0
PPE_PI_ENS_79 0.8632 3.7616e-04 0.2050 0.9355 1.2521 0.9708 1.6596 0.8943 0.8320 0.7868 1.3617 0.6760 0.4338 2.7994 0.7437 1.1203 1.9768 6.8313 3.9893 2.0484e-05 1.9891 1.2182 0.9836 0.7723 11.6155 0 0 0
PPE_PI_ENS_80 0.7335 9.6570e-03 0.9886 1.7291 1.0331 3.0416 1.6810 0.8874 1.8020 0.6257 1.0233 1.4398 0.5777 2.5261 1.4006 1.5175 1.0571 1.6505 1.3269 2.1686e-05 0.9918 1.1269 0.8097 0.5955 17.0727 0 0 0
PPE_PI_ENS_81 0.6376 9.9209e-03 0.4194 1.0843 2.2870 0.5690 0.2993 1.0231 0.8439 0.8914 1.0760 0.9266 0.4705 1.9380 0.6097 1.4890 1.5540 6.9730 2.5609 1.6294e-05 1.2613 0.7141 1.1319 0.4150 36.1051 0 0 0
PPE_PI_ENS_82 0.5178 3.0617e-03 0.5746 0.3388 4.1967 1.2572 3.5630 0.6267 1.7468 1.5850 2.3637 0.9800 0.4992 1.4551 1.2214 0.8155 1.7857 6.7859 1.2202 2.5554e-05 1.6814 1.3855 0.7472 0.6490 34.7243 0 0 0
PPE_PI_ENS_83 0.6030 7.3304e-03 1.3676 1.0635 4.6848 3.7498 3.8513 1.0294 1.6253 0.9144 2.6635 1.2902 1.1924 1.9647 1.4926 1.8078 1.9293 6.2312 0.8435 2.6165e-06 1.1401 1.6637 0.6562 0.5621 25.2361 0 0 0
PPE_PI_ENS_84 0.4424 4.9362e-03 0.2380 1.9812 0.9719 2.7324 3.8051 1.3004 1.5836 0.7585 1.5071 1.6224 0.8081 2.6087 0.5360 0.6646 1.9584 4.7869 2.3383 1.5600e-05 1.4688 1.6798 1.0097 0.7648 25.0141 0 0 0
PPE_PI_ENS_85 0.3962 2.1218e-03 1.3243 0.5888 3.9387 1.6507 0.5018 1.1462 1.2717 1.0622 1.7131 0.7668 1.2550 3.0922 1.2304 0.5494 1.6760 7.6322 1.2748 1.9057e-05 0.9588 1.0263 1.1566 0.4964 49.8461 0 0 0
PPE_PI_ENS_86 0.4360 9.8150e-03 1.1680 0.8804 1.5165 0.4386 1.1923 1.3045 1.1184 1.4809 2.6968 0.9079 1.2011 3.0441 0.9547 0.9766 0.6169 4.9304 4.7480 2.7404e-05 1.3825 0.5137 0.9533 0.4829 38.2216 0 0 0
PPE_PI_ENS_87 0.2899 1.1471e-03 1.2018 1.2269 4.7333 0.7048 3.7545 0.8471 1.0913 1.6628 2.2023 2.0945 0.9359 2.6017 0.7483 2.6188 1.9370 9.0400 0.3249 5.8456e-06 1.2650 0.5072 0.9275 0.4108 21.6351 0 0 0
PPE_PI_ENS_88 0.8447 3.6513e-03 0.3658 1.8349 0.2197 1.2697 2.8716 1.0027 1.6173 1.7204 1.7534 0.8135 0.8564 2.6446 0.9886 2.6535 1.0018 0.3602 4.0248 7.9736e-06 1.1820 1.7578 0.7113 0.6648 56.1679 0 0 0
